,upz,nomupz,personas,trabajoinf_ninos_5_17_anos_perc,trabajoinfampliado_ninos_5_17_anos_perc,jovenes_14_24_anos_nini_perc,indice_envegecimiento,jefe_mujer_perc,adultos_mayores_pobres_perc
0,UPZ11,SAN CRISTOBAL NORTE,68430,0.6,3.9,20.7,35.2,44.5799340392293,17.931972789115648
1,UPZ12,TOBERIN,50037,1.8,16.7,9.1,54.7,36.27963037364403,5.420441901128596
2,UPZ13,LOS CEDROS,102981,0.0,3.5,5.5,118.4,33.286851693581035,3.25
3,UPZ18,BRITALIA,69961,0.4,7.2,9.4,42.7,36.46505941237153,9.439050701186623
4,UPZ19,EL PRADO,121158,0.3,8.0,8.2,59.1,32.88720217376659,5.406574394463668
5,UPZ21,LOS ANDES,54214,2.1,7.1,11.4,113.6,38.75268158136684,2.937541591406027
6,UPZ23,CASA BLANCA SUBA,43554,0.0,54.7,6.7,36.7,30.556328233657858,4.359673024523161
7,UPZ24,NIZA,93195,1.3,32.0,7.7,90.0,39.191235864297255,5.068817073910144
8,UPZ26,LAS FERIAS,120959,0.5,3.4,12.3,71.3,39.105655414291974,5.776925184982187
9,UPZ27,SUBA,158990,0.4,1.8,17.2,24.8,34.847797315182454,13.75064896536379
10,UPZ28,EL RINCON,370385,1.4,0.3,15.6,24.5,42.462574546634755,10.136607828089025
11,UPZ29,MINUTO DE DIOS,156375,1.1,0.8,12.6,71.1,37.07331366024152,8.406360283912923
12,UPZ30,BOYACA REAL,141449,0.3,0.3,11.7,62.8,36.79486898846398,6.645164350424513
13,UPZ32,SAN BLAS,88193,0.4,1.6,26.7,29.1,31.603668083202862,24.572699601966754
14,UPZ33,SOSIEGO,45890,0.4,11.9,18.9,41.8,34.4973544973545,13.264171915524269
15,UPZ34,20 DE JULIO,88155,2.1,5.6,17.0,36.3,39.5832545475173,14.336698276741103
16,UPZ35,CIUDAD JARDIN,31700,2.8,24.9,13.5,67.8,39.15656616247621,4.9418011027159485
17,UPZ37,SANTA ISABEL,43337,1.6,45.2,13.1,70.0,40.28790910851462,5.841260404280618
18,UPZ38,RESTREPO,77554,0.5,14.5,15.4,51.1,36.12261113202024,12.456682588742156
19,UPZ39,QUIROGA,83505,0.8,7.6,13.6,53.6,39.68283374708214,19.78326612903226
20,UPZ40,CIUDAD MONTES,87522,0.8,3.0,11.6,63.8,35.42515530024714,6.868778280542986
21,UPZ41,MUZU,50106,1.7,30.6,13.5,62.1,38.518564664839275,14.005861483880919
22,UPZ42,VENECIA,137971,1.3,6.3,18.4,40.0,36.85966265663115,21.410971339644664
23,UPZ43,SAN RAFAEL,66094,0.7,6.3,15.9,60.2,37.60223942614705,12.800198068828918
24,UPZ44,AMERICAS,106843,1.3,9.4,12.1,50.9,32.07983076323554,7.17757861157527
25,UPZ45,CARVAJAL,133515,0.9,1.5,19.9,50.7,36.57012060920856,25.517579321327943
26,UPZ47,KENNEDY CENTRAL,137082,0.6,5.5,16.0,56.6,37.76467310549777,17.72532188841202
27,UPZ48,TIMIZA,184182,0.5,5.9,15.6,38.8,30.574412532637076,24.624301174539674
28,UPZ49,APOGEO,56247,1.5,3.4,17.5,37.4,33.804143126177024,12.381108560183666
29,UPZ50,LA GLORIA,96710,2.6,2.9,23.1,32.1,34.55652566126486,26.423827731938015
30,UPZ51,LOS LIBERTADORES,68788,0.9,3.5,23.7,25.6,37.36258639083445,21.649484536082475
31,UPZ52,LA FLORA,16030,1.3,5.0,33.6,16.2,39.020305631149256,50.66981875492514
32,UPZ54,MARRUECOS,91749,0.6,1.1,18.6,23.1,40.063650382230385,21.573707895813445
33,UPZ55,DIANA TURBAY,70325,1.3,2.3,28.1,19.6,35.79642341830265,18.838575872796405
34,UPZ57,GRAN YOMASA,120223,0.5,3.3,24.8,24.8,37.13981686315141,31.37040714995035
35,UPZ58,COMUNEROS,79549,0.3,12.0,21.1,19.4,40.45162458141008,30.358350236646384
36,UPZ62,TUNJUELITO,50000,1.3,9.1,15.0,39.3,38.68116927260367,22.63267429760666
37,UPZ65,ARBORIZADORA,74720,0.8,21.2,15.1,22.6,42.15939278937381,15.901455767077268
38,UPZ66,SAN FRANCISCO,95541,1.5,0.1,22.7,30.3,44.03138793526238,18.031885651456843
39,UPZ67,LUCERO,196262,0.9,3.4,29.8,21.7,41.567540074488505,35.50498753117207
40,UPZ69,ISMAEL PERDOMO,188751,1.2,3.9,21.0,16.9,35.00812922850999,18.899097356544164
41,UPZ70,JERUSALEM,112706,1.8,3.9,25.9,15.9,36.795481202543364,28.60752759675489
42,UPZ71,TIBABUYES,265459,1.3,5.2,19.6,20.3,37.31940208968655,16.4257555847569
43,UPZ72,BOLIVIA,90440,0.6,0.5,8.3,37.2,34.49639599413153,5.664154498351389
44,UPZ73,GARCES NAVAS,148791,0.2,12.8,12.7,43.1,37.53747368868667,7.632204733325784
45,UPZ74,ENGATIVA,129473,0.4,3.1,18.3,19.6,34.20466622804798,13.949512219652016
46,UPZ75,FONTIBON,179732,0.4,1.2,14.5,45.4,31.113458410878057,14.928785785738103
47,UPZ76,FONTIBON SAN PABLO,41176,1.3,19.4,22.9,25.1,30.57616416732439,18.737029350726356
48,UPZ77,ZONA FRANCA,43840,0.6,5.3,14.9,14.1,31.412844036697248,10.99375900144023
49,UPZ78,TINTAL NORTE,20155,0.1,17.6,16.9,12.0,31.15295672282788,12.752219531880549
50,UPZ79,CALANDAIMA,71056,0.6,0.6,18.1,10.2,33.84278458599319,17.516129032258064
51,UPZ80,CORABASTOS,78438,1.5,9.2,20.9,15.5,32.04424554589209,23.977122745270567
52,UPZ81,GRAN BRITALIA,92200,1.1,4.7,22.8,29.6,36.58279137866458,23.841877702285363
53,UPZ82,PATIO BONITO,202934,1.3,2.4,23.0,19.8,32.81075721898625,21.02595712622423
54,UPZ83,LAS MARGARITAS,15813,0.7,34.0,16.8,11.4,30.639324487334136,24.675324675324674
55,UPZ84,BOSA OCCIDENTAL,223493,0.8,4.0,22.7,17.7,30.258906773094747,34.400948991696325
56,UPZ85,BOSA CENTRAL,286332,0.8,0.6,19.1,24.8,34.448306306507675,29.840100329205203
57,UPZ86,EL PORVENIR,87973,0.6,7.3,24.8,14.0,39.380741210009504,25.43452073653416
58,UPZ87,TINTAL SUR,76996,0.4,5.0,20.8,9.8,33.710974660555216,19.348719570028454
59,UPZ89,SAN ISIDRO - PATIOS,17088,2.4,36.8,22.1,18.5,40.12007769733357,16.9811320754717
60,UPZ92,LA MACARENA,11570,1.8,4.2,18.8,88.4,44.46934202485231,16.89637570188872
61,UPZ94,LA CANDELARIA,22440,0.2,9.3,16.7,91.2,40.729156485192064,16.182675601886324
62,UPZ95,LAS CRUCES,19244,0.9,12.9,16.7,65.7,38.58476110878952,24.64484249536751
63,UPZ96,LOURDES,41407,1.6,2.7,23.5,37.8,38.689618563737014,29.256038647342994
64,UPZ98,LOS ALCAZARES,90912,0.7,2.6,5.1,106.8,43.229078134738515,6.146129207711367
65,UPZ100,GALERIAS,24215,2.9,27.7,7.2,141.3,43.28016134946828,4.009972989819239
66,UPZ101,TEUSAQUILLO,19451,0.6,18.4,7.2,145.7,44.89623041084286,5.281135049921177
67,UPZ102,LA SABANA,50379,1.5,11.3,13.8,64.3,38.238126615641946,13.065049614112459
68,UPZ107,QUINTA PAREDES,18823,0.0,56.9,9.8,110.3,40.899940793368856,5.75390970787843
69,UPZ109,CIUDAD SALITRE ORIENTAL,51289,0.2,74.1,3.2,39.2,26.470113520202293,2.751937984496124
70,UPZ110,CIUDAD SALITRE OCCIDENTAL,49200,0.0,46.8,7.1,95.7,42.79897232051966,2.6009065400388516
71,UPZ112,GRANJAS DE TECHO,24897,0.1,8.4,7.9,24.7,26.3678886108996,6.68859649122807
72,UPZ114,MODELIA,52601,0.5,7.9,10.4,70.5,39.04637063739145,2.615948439277139
73,UPZ53,MARCO FIDEL SUAREZ,105367,1.9,1.1,21.8,44.5,31.25090257921035,19.908536585365855
74,UPZ36,SAN JOSE,105367,1.9,1.1,21.8,44.5,31.25090257921035,19.908536585365855
75,UPZ46,CASTILLA,166766,1.3,0.9,12.4,33.6,37.497429378002956,5.133683310951044
76,UPZ113,BAVARIA,166766,1.3,0.9,12.4,33.6,37.497429378002956,5.133683310951044
77,UPZ16,SANTA BARBARA,115124,1.5,2.0,5.2,127.3,38.44390970551163,3.8402254811291674
78,UPZ15,COUNTRY CLUB,115124,1.5,2.0,5.2,127.3,38.44390970551163,3.8402254811291674
79,UPZ14,USAQUEN,115124,1.5,2.0,5.2,127.3,38.44390970551163,3.8402254811291674
80,UPZ9,VERBENAL,131490,1.7,1.6,15.0,27.6,40.160390817517616,12.927981109799292
81,UPZ1,PASEO DE LOS LIBERTADORES,131490,1.7,1.6,15.0,27.6,40.160390817517616,12.927981109799292
82,UPZ10,LA URIBE,131490,1.7,1.6,15.0,27.6,40.160390817517616,12.927981109799292
83,UPZ25,LA FLORESTA,91513,0.0,1.6,4.3,140.8,39.74132098058606,1.0349900178627718
84,UPZ20,LA ALHAMBRA,91513,0.0,1.6,4.3,140.8,39.74132098058606,1.0349900178627718
85,UPZ2,LA ACADEMIA,66427,0.2,17.6,11.2,52.0,38.07481204741479,3.6317259808089397
86,UPZ3,GUAYMARAL,66427,0.2,17.6,11.2,52.0,38.07481204741479,3.6317259808089397
87,UPZ17,SAN JOSE DE BAVARIA,66427,0.2,17.6,11.2,52.0,38.07481204741479,3.6317259808089397
88,UPZ103,PARQUE SALITRE,121977,0.5,4.4,9.4,76.0,42.4705500417401,8.523341396880951
89,UPZ22,DOCE DE OCTUBRE,121977,0.5,4.4,9.4,76.0,42.4705500417401,8.523341396880951
90,UPZ104,PARQUE SIMON BOLIVAR - CAN,26685,0.6,25.1,4.1,144.6,31.73779315647828,2.498345466578425
91,UPZ106,LA ESMERALDA,26685,0.6,25.1,4.1,144.6,31.73779315647828,2.498345466578425
92,UPZ108,ZONA INDUSTRIAL,18183,1.7,17.2,18.9,51.5,39.68231456530989,20.983213429256594
93,UPZ111,PUENTE ARANDA,18183,1.7,17.2,18.9,51.5,39.68231456530989,20.983213429256594
94,UPZ31,SANTA CECILIA,90943,0.0,5.3,7.1,76.6,35.81118751161494,7.638132578232774
95,UPZ116,ALAMOS,90943,0.0,5.3,7.1,76.6,35.81118751161494,7.638132578232774
96,UPZ105,JARDIN BOTANICO,90943,0.0,5.3,7.1,76.6,35.81118751161494,7.638132578232774
97,UPZ59,ALFONSO LOPEZ,81261,0.6,2.5,30.0,16.7,45.95177822965514,46.478873239436616
98,UPZ61,CIUDAD USME,81261,0.6,2.5,30.0,16.7,45.95177822965514,46.478873239436616
99,UPZ60,PARQUE ENTRENUBES,40778,1.3,14.5,27.7,15.9,35.555026580972786,31.785095320623917
100,UPZ56,DANUBIO,40778,1.3,14.5,27.7,15.9,35.555026580972786,31.785095320623917
101,UPZ117,AEROPUERTO EL DORADO,22285,0.7,9.3,11.1,34.7,38.016304347826086,7.84688995215311
102,UPZ115,CAPELLANIA,22285,0.7,9.3,11.1,34.7,38.016304347826086,7.84688995215311
103,UPZ93,LAS NIEVES,17226,3.5,125.7,9.9,133.3,44.33803929311877,9.697344039530574
104,UPZ91,SAGRADO CORAZON,17226,3.5,125.7,9.9,133.3,44.33803929311877,9.697344039530574
105,UPZ64,MONTE BLANCO,63145,1.8,8.5,25.3,16.9,46.14774810484071,44.98594189315839
106,UPZ68,EL TESORO,63145,1.8,8.5,25.3,16.9,46.14774810484071,44.98594189315839
107,UPZ63,EL MOCHUELO,63145,1.8,8.5,25.3,16.9,46.14774810484071,44.98594189315839
108,UPZ90,PARDO RUBIO,53837,0.0,30.2,8.2,81.4,47.033691863733466,5.814843152257077
109,UPZ99,CHAPINERO,53837,0.0,30.2,8.2,81.4,47.033691863733466,5.814843152257077
110,UPZ97,CHICO LAGO,52951,0.0,17.0,4.3,153.4,44.66781543174421,5.401917404129794
111,UPZ88,EL REFUGIO,52951,0.0,17.0,4.3,153.4,44.66781543174421,5.401917404129794
